Species,Dataset,File Name,Tetracycline,Ampicillin,Amoxicillin-Clavulanic acid,Cefoxitin,Ceftiofur,Gentamicin,Ceftriaxone,clusters,split
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195671.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195672.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198875.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198883.fna,R,S,S,S,S,S,S,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198889.fna,R,S,S,S,S,S,S,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198890.fna,R,R,R,I,R,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198898.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198905.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198909.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198922.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198930.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198931.fna,S,R,R,I,R,S,I,25,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198932.fna,R,S,S,S,S,S,S,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198942.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198956.fna,R,S,S,S,S,S,S,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198961.fna,S,S,S,S,S,S,S,27,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198962.fna,R,R,R,I,R,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1198972.fna,S,R,R,I,R,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200747.fna,S,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200748.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200749.fna,S,S,S,S,S,S,S,34,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200752.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200753.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200754.fna,S,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200757.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200758.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200759.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200760.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200761.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200762.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200764.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200765.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200766.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1200767.fna,S,S,S,S,S,S,S,47,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1202982.fna,S,R,S,S,S,S,S,34,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1202983.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1202988.fna,S,R,R,I,R,S,S,25,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1202996.fna,S,R,S,S,S,S,S,34,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1202997.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203000.fna,R,R,R,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203013.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203014.fna,S,R,R,I,R,S,I,25,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203017.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203018.fna,S,S,S,S,S,S,S,36,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203019.fna,R,R,R,I,R,S,R,47,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203020.fna,S,R,R,I,R,S,R,25,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203028.fna,R,R,R,I,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203034.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1203044.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220702.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220705.fna,R,R,R,I,R,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220706.fna,R,R,R,I,R,S,I,47,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220713.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220721.fna,R,R,I,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220722.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220731.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220732.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220739.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220744.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220745.fna,S,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220766.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220770.fna,S,S,S,S,S,S,S,9,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220782.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220800.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1220811.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257273.fna,S,S,S,S,S,S,S,9,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257274.fna,S,R,R,I,R,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257278.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257279.fna,R,R,I,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257280.fna,S,S,S,S,S,S,S,7,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257289.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257294.fna,R,S,S,S,S,S,S,49,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257300.fna,R,R,R,I,R,S,I,60,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257301.fna,S,R,R,I,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257306.fna,S,S,S,S,S,S,S,47,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257307.fna,R,R,R,I,R,S,I,60,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1257312.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272488.fna,S,R,I,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272495.fna,S,S,S,S,S,S,S,9,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272497.fna,I,S,S,S,S,S,S,40,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272524.fna,S,R,R,I,R,S,R,25,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272768.fna,R,R,R,I,R,S,I,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272782.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272788.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272805.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272809.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272810.fna,R,S,S,S,S,S,S,37,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272853.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272854.fna,R,R,R,I,R,S,I,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272862.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272872.fna,S,R,R,I,R,S,R,25,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272895.fna,R,S,S,S,S,R,S,11,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1272911.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1292273.fna,R,R,R,R,R,S,R,143,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1292319.fna,R,R,R,R,R,S,I,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299216.fna,R,R,R,R,R,S,I,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299218.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299219.fna,S,S,S,S,S,S,S,43,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299268.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299269.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299273.fna,R,R,R,R,R,S,I,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299277.fna,S,S,S,S,S,S,S,18,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299278.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299279.fna,R,S,S,S,S,S,S,49,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299285.fna,R,R,S,S,S,S,S,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299286.fna,S,S,S,S,S,S,S,27,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299292.fna,S,S,S,S,S,S,S,19,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299293.fna,S,S,S,S,S,S,S,9,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299297.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299301.fna,R,R,R,R,R,R,I,125,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299303.fna,R,S,S,S,S,S,S,37,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299305.fna,S,S,S,S,S,S,S,18,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299307.fna,S,S,S,S,S,S,S,27,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299309.fna,S,S,S,S,S,S,S,18,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299310.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299311.fna,R,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299315.fna,R,R,S,S,S,S,S,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299355.fna,S,S,S,S,S,S,S,18,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299356.fna,R,R,R,R,R,S,R,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299357.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299361.fna,R,R,R,R,R,S,R,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299362.fna,R,R,R,R,R,S,R,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299363.fna,R,R,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299364.fna,R,S,S,S,S,S,S,40,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299366.fna,S,S,S,S,S,S,S,18,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299367.fna,S,S,S,S,S,S,S,18,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299372.fna,R,R,R,R,R,S,I,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299373.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299378.fna,R,R,R,R,R,S,I,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299379.fna,R,S,S,S,S,S,S,49,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299380.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299389.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299393.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299398.fna,R,R,R,R,R,S,I,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299421.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299423.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299428.fna,R,R,R,R,R,S,I,6,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299430.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1299431.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300553.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300555.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300558.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300564.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300595.fna,S,R,R,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300597.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300604.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300605.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300606.fna,S,S,S,S,S,S,S,47,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300612.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300613.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300629.fna,S,S,S,S,S,S,S,28,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300634.fna,R,S,S,S,S,S,S,37,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300638.fna,S,S,S,S,S,S,S,27,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300640.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300645.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300649.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300653.fna,S,S,S,S,S,S,S,27,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300656.fna,S,R,I,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300663.fna,S,R,I,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300670.fna,R,S,S,S,S,S,S,37,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300672.fna,I,S,S,S,S,S,S,40,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300681.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300687.fna,S,R,R,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300722.fna,S,R,R,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300726.fna,R,S,S,S,S,R,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300728.fna,S,S,S,S,S,S,S,49,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1300733.fna,S,S,S,S,S,S,S,20,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333866.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333870.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333871.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333872.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333879.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333880.fna,S,R,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333881.fna,S,R,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1333886.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334129.fna,R,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334131.fna,S,S,S,S,S,S,S,28,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334132.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334137.fna,R,R,R,R,R,S,I,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334138.fna,S,R,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334223.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334224.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334225.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334288.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334372.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334376.fna,S,S,S,S,S,R,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334378.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334379.fna,S,S,S,S,S,R,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334482.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334486.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334559.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334637.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334638.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334639.fna,S,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334672.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334673.fna,S,R,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334784.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334785.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1334789.fna,S,S,S,S,S,S,S,16,train
