Species,Project Number,Database,ID,Link,Study DOI
Escherichia coli,Not available,PACTRIC,562.13671,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.16324,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.16325,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.16326,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.16327,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.16466,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.17359,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.17620,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.17621,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.17721,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.17722,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19151,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19184,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19185,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19186,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19189,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19631,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19632,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19633,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19821,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.19823,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.20499,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22426,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22428,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22429,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22430,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22431,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22432,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22433,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22434,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22435,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22436,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22437,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22438,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22439,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22440,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22441,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22442,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22443,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22444,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22445,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22446,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22447,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22448,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22449,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22450,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22451,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22452,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22453,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22454,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22455,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22457,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22458,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22459,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22460,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22461,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22462,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22463,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22464,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22465,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22466,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22467,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22468,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22469,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22470,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22471,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22472,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22473,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22474,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22476,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22477,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22478,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22479,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22480,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22481,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22482,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22483,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22484,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22485,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22486,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22487,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22488,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22489,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22490,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22491,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22492,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22493,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22494,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22495,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22496,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22497,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22498,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22499,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22500,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22501,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22502,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22503,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22504,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22505,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22506,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22507,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22508,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22509,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22510,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22511,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22512,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22513,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22514,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22515,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22516,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22517,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22518,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22519,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22520,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22521,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22522,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22524,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22525,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22526,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22527,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22528,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22529,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22530,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22531,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22532,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22533,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22534,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22535,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22536,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22537,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22538,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22539,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22540,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22541,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22542,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22543,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22544,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22545,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22546,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22547,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22548,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22549,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22550,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22551,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22552,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22553,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22554,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22555,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22556,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22557,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22558,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22559,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22560,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22561,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22562,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22563,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22564,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22565,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22566,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22567,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22568,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22569,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22570,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22571,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22572,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22573,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22574,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22576,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22577,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22578,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22579,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22580,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22581,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22582,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22583,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22584,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22585,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22586,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22587,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22588,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22589,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22590,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22591,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22592,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22593,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22594,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22595,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22596,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22597,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22598,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22599,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22600,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22601,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22602,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22603,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22604,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22605,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22606,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22607,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22608,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22609,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22610,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22611,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22612,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22613,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22614,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22615,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22617,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22618,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22619,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22620,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22621,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22622,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22623,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22624,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22625,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22626,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22627,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.22628,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
